z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,spinAndParity,decayModes,massExcess(keV),massExcessUncertainty,betaMinus(keV),betaMinusUncertainty,positronEmission(keV),positronEmissionUncertainty,neutronSeparationEnergy(keV),neutronSeparationEnergyUncertainty,protonSeparationEnergy(keV),protonSeparationEnergyUncertainty,alpha(keV),alphaUncertainty,twoNeutronSeparationEnergy(keV),twoNeutronSeparationEnergyUncertainty,twoProtonSeparationEnergy(keV),twoProtonSeparationEnergyUncertainty,bindingEnergy(keV),bindingEnergyUncertainty
62,67,129Sm,0.0,0.55,s,10,(1/2+:3/2+),EP AP 0.00,-4.23E+4,5,,,9.8E+3,6,1.13E+4,7,1.4E+3,6,3.3E+3,6,,,1.0E+3,6,8023,4
62,68,130Sm,0.0,,,,0+,EC  ,-4.77E+4,4,-1.42E+4,7,6.7E+3,4,1.34E+4,6,1.8E+3,5,3.3E+3,5,2.47E+4,6,1.7E+3,4,8065,3
62,69,131Sm,0.0,1.2,s,2,,EC = 100.00,-5.03E+4,4,-1.08E+4,6,8.5E+3,4,1.07E+4,6,2.1E+3,4,3.2E+3,5,2.41E+4,6,2.5E+3,4,8085,3
62,69,131Sm,0.0,1.2,s,2,,EP AP 0.00,-5.03E+4,4,-1.08E+4,6,8.5E+3,4,1.07E+4,6,2.1E+3,4,3.2E+3,5,2.41E+4,6,2.5E+3,4,8085,3
62,77,139Sm,0.0,2.57,m,10,1/2+,EC = 100.00,-72380,11,-6982,17,4099,17,8954,16,4755,16,1408,22,2.053E+4,3,7374,16,8243.08,8
62,77,139Sm,0.4574,10.7,s,6,11/2-,IT = 93.70,-71923,11,-6982,17,4099,17,8954,16,4755,16,1408,22,2.053E+4,3,7374,16,8243.08,8
62,77,139Sm,0.4574,10.7,s,6,11/2-,EC = 6.30,-71923,11,-6982,17,4099,17,8954,16,4755,16,1408,22,2.053E+4,3,7374,16,8243.08,8
62,78,140Sm,0.0,14.82,m,12,0+,EC = 100.00,-75456,12,-8.47E+3,5,1.73E+3,3,11147,17,5244,18,1318,17,20101,17,8017,17,8263.82,9
62,79,141Sm,0.0,10.2,m,2,1/2+,EC = 100.00,-75934,9,-6008,14,3567,16,8549,15,5.01E+3,3,1225,15,19696,14,8.49E+3,3,8265.85,6
62,79,141Sm,0.1760,22.6,m,2,11/2-,EC = 99.69,-75758,9,-6008,14,3567,16,8549,15,5.01E+3,3,1225,15,19696,14,8.49E+3,3,8265.85,6
62,79,141Sm,0.1760,22.6,m,2,11/2-,IT = 0.31,-75758,9,-6008,14,3567,16,8549,15,5.01E+3,3,1225,15,19696,14,8.49E+3,3,8265.85,6
62,70,132Sm,0.0,4.0,s,3,0+,EC = 100.00,-5.51E+4,3,-1.29E+4,5,5.5E+3,3,1.29E+4,5,2.7E+3,4,3.0E+3,4,2.36E+4,5,3.1E+3,3,8122.0,20
62,70,132Sm,0.0,4.0,s,3,0+,EP  ,-5.51E+4,3,-1.29E+4,5,5.5E+3,3,1.29E+4,5,2.7E+3,4,3.0E+3,4,2.36E+4,5,3.1E+3,3,8122.0,20
62,71,133Sm,0.0,2.89,s,16,(5/2+),EC = 100.00,-5.72E+4,3,-1.00E+4,4,7.2E+3,3,1.02E+4,4,2.9E+3,3,2.7E+3,4,2.31E+4,5,4.0E+3,3,8137.0,20
62,71,133Sm,0.0,2.89,s,16,(5/2+),EP AP 0.00,-5.72E+4,3,-1.00E+4,4,7.2E+3,3,1.02E+4,4,2.9E+3,3,2.7E+3,4,2.31E+4,5,4.0E+3,3,8137.0,20
62,71,133Sm,0.0,3.5,s,4,(1/2-),EC  ,-5.72E+4,3,-1.00E+4,4,7.2E+3,3,1.02E+4,4,2.9E+3,3,2.7E+3,4,2.31E+4,5,4.0E+3,3,8137.0,20
62,71,133Sm,0.0,3.5,s,4,(1/2-),IT  ,-5.72E+4,3,-1.00E+4,4,7.2E+3,3,1.02E+4,4,2.9E+3,3,2.7E+3,4,2.31E+4,5,4.0E+3,3,8137.0,20
62,71,133Sm,0.0,3.5,s,4,(1/2-),EP  ,-5.72E+4,3,-1.00E+4,4,7.2E+3,3,1.02E+4,4,2.9E+3,3,2.7E+3,4,2.31E+4,5,4.0E+3,3,8137.0,20
62,72,134Sm,0.0,9.5,s,8,0+,EC = 100.00,-6.138E+4,20,-1.16E+4,4,4.37E+3,20,1.22E+4,4,3.26E+3,20,2.80E+3,20,2.24E+4,4,4.53E+3,20,8167.0,10
62,73,135Sm,0.0,10.3,s,5,(3/2+:5/2+),EC = 100.00,-6.286E+4,15,-8.71E+3,25,6.18E+3,18,9.55E+3,25,3.38E+3,16,2.49E+3,16,2.18E+4,3,5.10E+3,16,8177.6,11
62,73,135Sm,0.0,10.3,s,5,(3/2+:5/2+),EP = 0.02,-6.286E+4,15,-8.71E+3,25,6.18E+3,18,9.55E+3,25,3.38E+3,16,2.49E+3,16,2.18E+4,3,5.10E+3,16,8177.6,11
62,74,136Sm,0.0,47,s,2,0+,EC = 100.00,-66811,12,-1.057E+4,20,3.34E+3,7,1.202E+4,16,4.04E+3,8,2.19E+3,3,2.158E+4,20,5742,17,8205.92,9
62,75,137Sm,0.0,45,s,1,(9/2-),EC = 100.00,-6.799E+4,3,-7.85E+3,3,5.06E+3,3,9.25E+3,3,4.11E+3,7,1.92E+3,5,2.128E+4,16,6.36E+3,3,8213.55,21
62,76,138Sm,0.0,3.1,m,2,0+,EC = 100.00,-71498,12,-9.75E+3,3,2395,17,1.158E+4,3,4714,18,1724,17,20830,17,6876,17,8237.93,9
62,88,150Sm,0.0,STABLE,,,0+,,-77051.3,11,-2259,6,-4476,20,7986.8,4,8275.9,19,1449.7,10,13857.9,9,14221.2,19,8261.624,7
62,89,151Sm,0.0,90,y,8,5/2-,B- = 100.00,-74576.5,11,76.6,5,-2212,4,5596.46,11,8268,20,1145.4,10,13583.2,4,14778.9,19,8243.974,7
62,80,142Sm,0.0,72.49,m,5,0+,EC = 100.00,-78981.9,19,-7.67E+3,3,1138,24,11119,9,5748,14,610,12,19669,13,9303,4,8285.941,13
62,81,143Sm,0.0,8.75,m,6,3/2+,EC = 100.00,-79517,3,-5276,11,2422,4,8607,3,5665,24,7.E+1,3,19726,9,9904,4,8288.183,19
62,81,143Sm,0.7540,66,s,2,11/2-,IT = 99.76,-78763,3,-5276,11,2422,4,8607,3,5665,24,7.E+1,3,19726,9,9904,4,8288.183,19
62,81,143Sm,0.7540,66,s,2,11/2-,EC = 0.24,-78763,3,-5276,11,2422,4,8607,3,5665,24,7.E+1,3,19726,9,9904,4,8288.183,19
62,81,143Sm,2.7938,30,ms,3,23/2(-),IT = 100.00,-76723,3,-5276,11,2422,4,8607,3,5665,24,7.E+1,3,19726,9,9904,4,8288.183,19
62,82,144Sm,0.0,STABLE,,,0+,,-81965.6,15,-6346,11,-1572,3,10519.8,23,6294,3,-133,4,19126.3,12,10593.5,8,8303.680,10
62,83,145Sm,0.0,340,d,3,7/2-,EC = 100.00,-80651.4,15,-2660,3,-406,3,6757.1,3,6524,3,1115,3,17276.9,24,11227.0,8,8293.014,10
62,84,146Sm,0.0,10.3E+7,y,5,0+,A = 100.00,-80996,3,-3879,6,-2564,3,8416,3,7018,4,2529,3,15173,3,11826,3,8293.858,21
62,85,147Sm,0.0,1.060E11,y,11,7/2-,A = 100.00,-79266.0,13,-1721.4,23,-1246.1,3,6341,3,7101,4,2311.3,5,14757.3,10,12412.0,5,8280.573,9
62,86,148Sm,0.0,7E+15,y,3,0+,A = 100.00,-79336.1,12,-3039,10,-3492,6,8141.3,3,7583.1,4,1987.0,4,14482,3,12988.1,5,8279.633,8
62,87,149Sm,0.0,STABLE,,,7/2-,,-77135.9,12,-695,4,-2093.5,19,5871.1,9,7559,6,1871.2,10,14012.5,9,13567.0,10,8263.468,8
62,102,164Sm,0.0,160,ns,GT,0+,B- = 100.00,-47925,4,5307,5,-1.06E+4,4,5397,8,1.23E+4,4,-3.63E+3,5,9689,5,2.35E+4,4,8067.78,3
62,102,164Sm,1.486,0.60,us,14,(6-),IT = 100.00,-46439,4,5307,5,-1.06E+4,4,5397,8,1.23E+4,4,-3.63E+3,5,9689,5,2.35E+4,4,8067.78,3
62,101,163Sm,0.0,160,ns,GT,,B- = 100.00,-50600,7,5974,7,-8.7E+3,4,4292,8,1.18E+4,3,-3.30E+3,3,10070,10,2.29E+4,4,8084.17,5
62,100,162Sm,0.0,2.4,s,5,0+,B- = 100.00,-54379,4,4344,4,-9.4E+3,3,5778,8,11581,10,-2969,4,10289,4,2.223E+4,5,8107.575,22
62,106,168Sm,,,,,,,-3.16E+4,3,7.6E+3,5,,,4.4E+3,6,,,,,7.3E+3,5,,,7971.0,20
62,105,167Sm,,,,,,,-3.53E+4,5,8.4E+3,6,,,3.0E+3,6,,,-3.7E+3,7,8.0E+3,6,,,7992,3
62,104,166Sm,,,,,,,-4.04E+4,4,6.3E+3,4,,,5.0E+3,6,1.31E+4,6,-3.9E+3,6,8.7E+3,4,,,8023.0,20
62,103,165Sm,0.0,160,ns,GT,,B- = 100.00,-4.35E+4,4,7.2E+3,4,-9.9E+3,6,3.7E+3,4,1.24E+4,6,-3.7E+3,6,9.1E+3,4,2.40E+4,6,8041.0,20
62,103,165Sm,0.0,160,ns,GT,,BN ? ,-4.35E+4,4,7.2E+3,4,-9.9E+3,6,3.7E+3,4,1.24E+4,6,-3.7E+3,6,9.1E+3,4,2.40E+4,6,8041.0,20
62,99,161Sm,0.0,4.8,s,4,,B- = 100.00,-56672,7,5120,12,-7607,11,4510,7,11066,7,-2603,7,10607,9,2.153E+4,3,8122.04,4
62,90,152Sm,0.0,STABLE,,,0+,,-74763.0,10,-1874.5,7,-4.53E+3,3,8257.8,6,8666,5,220.2,19,13854.3,6,15661.0,6,8244.065,7
62,91,153Sm,0.0,46.284,h,4,3/2+,B- = 100.00,-72560.1,10,807.4,7,-2934,9,5868.40,13,8.59E+3,3,-609.4,19,14126.2,6,16194.8,7,8228.537,7
62,91,153Sm,0.0984,10.6,ms,3,11/2-,IT = 100.00,-72461.7,10,807.4,7,-2934,9,5868.40,13,8.59E+3,3,-609.4,19,14126.2,6,16194.8,7,8228.537,7
62,92,154Sm,0.0,STABLE,,,0+,,-72455.6,13,-717.2,11,-5.21E+3,3,7966.8,8,9097,9,-1200.5,11,13835.2,8,16884,24,8226.838,9
62,93,155Sm,0.0,22.3,m,2,3/2-,B- = 100.00,-70191.2,13,1627.1,12,-4273,5,5807.0,3,9.21E+3,3,-1672.9,11,13773.8,9,17439,3,8211.226,9
62,94,156Sm,0.0,9.4,h,2,0+,B- = 100.00,-69361,9,722,8,-6216,9,7241,9,9710,10,-1.64E+3,3,13048,9,18359,9,8205.01,5
62,95,157Sm,0.0,8.03,m,7,(3/2-),B- = 100.00,-66678,4,2781,6,-5403,8,5388,10,9800,5,-1772,5,12629,5,18972,10,8187.06,3
62,96,158Sm,0.0,5.30,m,3,0+,B- = 100.00,-65252,5,2019,5,-7168,5,6646,6,10244,8,-2097,5,12034,10,19628,5,8177.31,3
62,97,159Sm,0.0,11.37,s,15,5/2-,B- = 100.00,-62208,6,3836,7,-6675,12,5027,8,10391,6,-2349,11,11673,7,20292,6,8157.50,4
62,98,160Sm,0.0,9.6,s,3,0+,B- = 100.00,-60233.2,20,3260.3,22,-8361,3,6097,6,10968,10,-2456.0,24,11124,5,20976.0,24,8144.616,12
63,107,170Eu,,,,,,,-3.09E+4,5,1.00E+4,7,,,3.3E+3,7,,,,,7.8E+3,6,,,7963,3
63,106,169Eu,,,,,,,-3.57E+4,5,8.2E+3,6,,,4.5E+3,6,1.13E+4,6,-3.4E+3,7,8.0E+3,6,,,7991,3
63,101,164Eu,0.0,4.2,s,2,,B- = 100.00,-53232.1,21,6461.5,23,-6329,5,4729.6,23,9922,8,-2762,3,10651.8,25,2.18E+4,3,8095.369,13
63,100,163Eu,0.0,7.7,s,4,,B- = 100.00,-56573.8,9,4814.8,12,-6996,7,5922.2,16,9484,4,-2444,10,10925,10,21065,9,8116.017,6
63,103,166Eu,0.0,1.7,s,3,,B- = 100.00,-4.675E+4,10,7.62E+3,10,-7.3E+3,4,4.09E+3,10,1.05E+4,4,-3.1E+3,3,9.66E+3,10,2.30E+4,4,8056.0,10
63,103,166Eu,0.0,1.7,s,3,,BN ? ,-4.675E+4,10,7.62E+3,10,-7.3E+3,4,4.09E+3,10,1.05E+4,4,-3.1E+3,3,9.66E+3,10,2.30E+4,4,8056.0,10
63,102,165Eu,0.0,2.3,s,2,,B- = 100.00,-50729,5,5797,5,-8.2E+3,4,5568,6,10093,7,-3067,10,10298,5,2.23E+4,4,8080.05,3
63,105,168Eu,0.0,160,ns,GT,,B- = 100.00,-3.92E+4,4,8.9E+3,5,-8.6E+3,5,3.6E+3,6,1.12E+4,6,-3.3E+3,6,8.6E+3,4,,,8012.0,20
63,105,168Eu,0.0,160,ns,GT,,BN ? ,-3.92E+4,4,8.9E+3,5,-8.6E+3,5,3.6E+3,6,1.12E+4,6,-3.3E+3,6,8.6E+3,4,,,8012.0,20
63,104,167Eu,0.0,160,ns,GT,,B- = 100.00,-4.38E+4,4,7.0E+3,4,-9.5E+3,6,5.1E+3,4,1.06E+4,6,-3.2E+3,6,9.2E+3,4,2.37E+4,6,8038.0,20
63,104,167Eu,0.0,160,ns,GT,,BN ? ,-4.38E+4,4,7.0E+3,4,-9.5E+3,6,5.1E+3,4,1.06E+4,6,-3.2E+3,6,9.2E+3,4,2.37E+4,6,8038.0,20
63,67,130Eu,0.0,0.90,ms,+49-29,(1+),P = 100.00,-3.35E+4,5,,,1.32E+4,7,,,-1.53E+3,20,3.8E+3,7,,,0,AP,7950,4
63,68,131Eu,0.0,17.8,ms,19,3/2+,P = 89.00,-3.95E+4,4,,,9.8E+3,6,1.40E+4,7,-947,5,3.4E+3,6,,,9.E+2,5,7996,3
63,68,131Eu,0.0,17.8,ms,19,3/2+,EC = 11.00,-3.95E+4,4,,,9.8E+3,6,1.40E+4,7,-947,5,3.4E+3,6,,,9.E+2,5,7996,3
63,69,132Eu,0.0,,,,,P  ,-4.22E+4,4,,,1.19E+4,5,1.08E+4,6,-8.E+2,6,3.6E+3,5,2.48E+4,7,1.3E+3,4,8018,3
63,69,132Eu,0.0,,,,,EC  ,-4.22E+4,4,,,1.19E+4,5,1.08E+4,6,-8.E+2,6,3.6E+3,5,2.48E+4,7,1.3E+3,4,8018,3
63,78,141Eu,0.0,40.7,s,7,5/2+,EC = 100.00,-69926,13,-6701,23,4986,14,1.101E+4,5,1759,18,1722,18,20670,18,7003,19,8217.69,9
63,78,141Eu,0.0964,2.7,s,3,11/2-,IT = 87.00,-69829,13,-6701,23,4986,14,1.101E+4,5,1759,18,1722,18,20670,18,7003,19,8217.69,9
63,78,141Eu,0.0964,2.7,s,3,11/2-,EC = 13.00,-69829,13,-6701,23,4986,14,1.101E+4,5,1759,18,1722,18,20670,18,7003,19,8217.69,9
63,79,142Eu,0.0,2.34,s,12,1+,EC = 100.00,-7.131E+4,3,-4.35E+3,4,6.65E+3,3,9.45E+3,3,2.66E+3,3,1.18E+3,3,2.047E+4,6,7.67E+3,4,8226.40,21
63,79,142Eu,0.0,1.223,m,8,8-,EC = 100.00,-7.131E+4,3,-4.35E+3,4,6.65E+3,3,9.45E+3,3,2.66E+3,3,1.18E+3,3,2.047E+4,6,7.67E+3,4,8226.40,21
63,70,133Eu,,,,,,EC ? ,-4.72E+4,3,-1.12E+4,6,9.0E+3,4,1.31E+4,5,-6.E+2,4,3.5E+3,4,2.39E+4,5,2.0E+3,4,8056.0,20
63,71,134Eu,0.0,0.5,s,2,,EC = 100.00,-4.98E+4,3,-8.3E+3,5,1.06E+4,4,1.06E+4,4,0,AP,3.2E+3,4,2.37E+4,5,2.8E+3,3,8075.0,20
63,71,134Eu,0.0,0.5,s,2,,EP AP 0.00,-4.98E+4,3,-8.3E+3,5,1.06E+4,4,1.06E+4,4,0,AP,3.2E+3,4,2.37E+4,5,2.8E+3,3,8075.0,20
63,72,135Eu,0.0,1.5,s,2,,EC = 100.00,-5.415E+4,20,-9.9E+3,4,7.69E+3,25,1.24E+4,4,0,AP,3.2E+3,3,2.31E+4,4,3.32E+3,20,8107.0,10
63,72,135Eu,0.0,1.5,s,2,,EP  ,-5.415E+4,20,-9.9E+3,4,7.69E+3,25,1.24E+4,4,0,AP,3.2E+3,3,2.31E+4,4,3.32E+3,20,8107.0,10
63,73,136Eu,0.0,3.3,s,3,(7+),EC = 100.00,-5.624E+4,20,-7.2E+3,4,9.55E+3,20,1.02E+4,3,6.8E+2,25,2.96E+3,25,2.26E+4,4,4.06E+3,20,8122.0,10
63,73,136Eu,0.0,3.3,s,3,(7+),EP = 0.09,-5.624E+4,20,-7.2E+3,4,9.55E+3,20,1.02E+4,3,6.8E+2,25,2.96E+3,25,2.26E+4,4,4.06E+3,20,8122.0,10
63,73,136Eu,0.0,3.8,s,3,(3+),EC = 100.00,-5.624E+4,20,-7.2E+3,4,9.55E+3,20,1.02E+4,3,6.8E+2,25,2.96E+3,25,2.26E+4,4,4.06E+3,20,8122.0,10
63,73,136Eu,0.0,3.8,s,3,(3+),EP = 0.09,-5.624E+4,20,-7.2E+3,4,9.55E+3,20,1.02E+4,3,6.8E+2,25,2.96E+3,25,2.26E+4,4,4.06E+3,20,8122.0,10
63,74,137Eu,0.0,11,s,2,(11/2-),EC = 100.00,-60146,4,-8.9E+3,3,6.82E+3,3,1.197E+4,20,624,13,2.84E+3,5,2.214E+4,20,4.66E+3,8,8150.57,3
63,75,138Eu,0.0,12.1,s,6,(6-),EC = 100.00,-6.175E+4,3,-6.09E+3,20,8.73E+3,3,9.68E+3,3,1.05E+3,4,2.59E+3,5,2.165E+4,20,5.16E+3,7,8161.62,20
63,76,139Eu,0.0,17.9,s,6,(11/2)-,EC = 100.00,-65398,13,-7.77E+3,20,5960,17,1.172E+4,3,1189,18,2.24E+3,8,21395,14,5903,19,8187.22,9
63,77,140Eu,0.0,1.51,s,2,1+,EC = 100.00,-6.699E+4,5,-5.20E+3,6,7.45E+3,5,9.66E+3,5,1.89E+3,5,1.76E+3,9,2.138E+4,6,6.65E+3,5,8197.7,4
63,77,140Eu,0.0,125,ms,2,(5-),IT = 100.00,-6.699E+4,5,-5.20E+3,6,7.45E+3,5,9.66E+3,5,1.89E+3,5,1.76E+3,9,2.138E+4,6,6.65E+3,5,8197.7,4
63,77,140Eu,0.0,125,ms,2,(5-),EC LT 1.00,-6.699E+4,5,-5.20E+3,6,7.45E+3,5,9.66E+3,5,1.89E+3,5,1.76E+3,9,2.138E+4,6,6.65E+3,5,8197.7,4
63,89,152Eu,0.0,13.517,y,9,3-,EC = 72.10,-72888.5,12,1818.8,7,852.5,7,6306.72,10,5601.0,5,1552,6,14239,6,13869,20,8226.585,8
63,89,152Eu,0.0,13.517,y,9,3-,B- = 27.90,-72888.5,12,1818.8,7,852.5,7,6306.72,10,5601.0,5,1552,6,14239,6,13869,20,8226.585,8
63,89,152Eu,0.0456,9.3116,h,13,0-,B- = 73.00,-72842.9,12,1818.8,7,852.5,7,6306.72,10,5601.0,5,1552,6,14239,6,13869,20,8226.585,8
63,89,152Eu,0.0456,9.3116,h,13,0-,EC = 27.00,-72842.9,12,1818.8,7,852.5,7,6306.72,10,5601.0,5,1552,6,14239,6,13869,20,8226.585,8
63,89,152Eu,0.1479,96,m,1,8-,IT = 100.00,-72740.6,12,1818.8,7,852.5,7,6306.72,10,5601.0,5,1552,6,14239,6,13869,20,8226.585,8
63,80,143Eu,0.0,2.59,m,2,5/2+,EC = 100.00,-74241,11,-6.01E+3,20,4254,11,1.100E+4,3,2548,11,835,17,20458,17,8296,18,8245.82,8
63,81,144Eu,0.0,10.2,s,1,1+,EC = 100.00,-75619,11,-3.86E+3,3,5324,11,9449,15,3391,11,1.7E+2,3,2.045E+4,3,9.06E+3,3,8254.17,7
63,82,145Eu,0.0,5.93,d,4,5/2+,EC = 100.00,-77992,3,-5065,20,1638,3,10444,11,3315,3,106,14,19893,11,9609,4,8269.274,21
63,83,146Eu,0.0,4.61,d,3,4-,EC = 100.00,-77118,6,-1032,7,2857,6,7197,7,3755,6,1599,24,17641,12,10279,6,8261.93,4
63,84,147Eu,0.0,24.1,d,6,5/2+,EC = 100.00,-77545,3,-2188,3,699.4,23,8498,6,3837,4,2991,3,15696,4,10855,3,8263.541,18
63,84,147Eu,0.0,24.1,d,6,5/2+,A = 2.2E-3,-77545,3,-2188,3,699.4,23,8498,6,3837,4,2991,3,15696,4,10855,3,8263.541,18
63,85,148Eu,0.0,54.5,d,5,5-,EC = 100.00,-76297,10,-28,10,2017,10,6824,10,4320,10,2694,10,15323,12,11421,11,8253.82,7
63,85,148Eu,0.0,54.5,d,5,5-,A = 9.4E-7,-76297,10,-28,10,2017,10,6824,10,4320,10,2694,10,15323,12,11421,11,8253.82,7
63,85,148Eu,0.7204,162,ns,8,9+,IT = 100.00,-75577,10,-28,10,2017,10,6824,10,4320,10,2694,10,15323,12,11421,11,8253.82,7
63,86,149Eu,0.0,93.1,d,4,5/2+,EC = 100.00,-76441,4,-1314,4,-327,4,8215,11,4394,4,2401,5,15039,4,11977,4,8253.56,3
63,87,150Eu,0.0,36.9,y,9,5-,EC = 100.00,-74792,6,972,4,1237,6,6422,7,4945,6,2237,7,14638,12,12504,8,8241.35,4
63,87,150Eu,0.0417,12.8,h,1,0-,B- = 89.00,-74751,6,972,4,1237,6,6422,7,4945,6,2237,7,14638,12,12504,8,8241.35,4
63,87,150Eu,0.0417,12.8,h,1,0-,EC = 11.00,-74751,6,972,4,1237,6,6422,7,4945,6,2237,7,14638,12,12504,8,8241.35,4
63,87,150Eu,0.0417,12.8,h,1,0-,IT LE 5.0E-8,-74751,6,972,4,1237,6,6422,7,4945,6,2237,7,14638,12,12504,8,8241.35,4
63,88,151Eu,0.0,1.7E+18,y,GE,5/2+,A  ,-74653.1,12,-464,3,-1098.6,5,7932,6,4890.7,5,1964.0,11,14354,4,13166.6,20,8239.300,8
63,90,153Eu,0.0,STABLE,,,5/2+,,-73367.5,12,-484.5,7,-1829.4,7,8550.28,12,5893.5,7,272.0,20,14857.00,16,14559,5,8228.701,8
63,91,154Eu,0.0,8.601,y,10,3-,B- = 99.98,-71738.4,12,1968.0,8,-304.8,11,6442.22,24,6467.3,7,-566,20,14992.5,3,1.506E+4,3,8217.101,8
63,91,154Eu,0.0,8.601,y,10,3-,EC = 0.02,-71738.4,12,1968.0,8,-304.8,11,6442.22,24,6467.3,7,-566,20,14992.5,3,1.506E+4,3,8217.101,8
63,91,154Eu,0.1453,46.3,m,4,8-,IT = 100.00,-71593.1,12,1968.0,8,-304.8,11,6442.22,24,6467.3,7,-566,20,14992.5,3,1.506E+4,3,8217.101,8
63,92,155Eu,0.0,4.753,y,14,5/2+,B- = 100.00,-71818.3,13,252.0,9,-2649.1,12,8151.3,4,6651.7,12,-857,5,14593.5,5,15748,9,8216.676,8
63,93,156Eu,0.0,15.19,d,8,0+,B- = 100.00,-70083,4,2452,3,-1744,8,6336,3,7181,4,-1.25E+3,3,14487,3,1.639E+4,3,8204.619,23
63,94,157Eu,0.0,15.18,h,3,5/2+,B- = 100.00,-69459,4,1365,4,-3803,6,7448,5,7387,9,-1236,10,13783,4,17097,6,8199.80,3
63,95,158Eu,0.0,45.9,m,2,(1-),B- = 100.00,-67270.5,20,3419.5,23,-3041,5,5883,5,7882,5,-1.43E+3,3,13330,4,17681.6,24,8185.132,13
63,96,159Eu,0.0,18.1,m,1,5/2+,B- = 100.00,-66043,4,2518,4,-4858,7,6844,5,8081,6,-1528,6,12727,4,18324,8,8176.70,3
63,97,160Eu,0.0,38,s,4,1,B- = 100.00,-63493.4,9,4448.6,14,-4282.3,22,5521,4,8575,6,-1751.5,15,12365.6,22,18965.2,13,8160.103,6
63,98,161Eu,0.0,26,s,3,,B- = 100.00,-61792,10,3715,11,-6142,12,6369,10,8847,11,-1919,13,11891,11,19815,14,8148.98,6
63,99,162Eu,0.0,10.6,s,10,,B- = 100.00,-58722.9,13,5558,4,-5366,4,5003,10,9340,7,-2041.7,16,11372.1,16,20406.2,24,8129.559,8
64,69,133Gd,,,,,,,-3.61E+4,5,,,1.02E+4,6,,,1.1E+3,6,3.8E+3,7,,,0,AP,7966,4
64,79,143Gd,0.0,39,s,2,(1/2)+,EC = 100.00,-6.823E+4,20,-7.81E+3,21,4.99E+3,20,9.34E+3,20,4.21E+3,20,1.72E+3,20,2.115E+4,20,6.88E+3,20,8198.3,14
64,79,143Gd,0.1526,110.0,s,14,(11/2-),EC = 100.00,-6.808E+4,20,-7.81E+3,21,4.99E+3,20,9.34E+3,20,4.21E+3,20,1.72E+3,20,2.115E+4,20,6.88E+3,20,8198.3,14
64,70,134Gd,0.0,,,,0+,EC ? ,-4.15E+4,4,,,7.2E+3,5,1.35E+4,6,1.6E+3,5,3.7E+3,6,,,1.0E+3,5,8008,3
64,72,136Gd,0.0,200,ns,GE,0+,EC = 100.00,-4.91E+4,3,-1.32E+4,6,6.1E+3,4,1.29E+4,5,2.2E+3,4,3.6E+3,4,2.37E+4,5,2.3E+3,4,8064.0,20
64,71,135Gd,0.0,1.1,s,2,(5/2+),EC = 100.00,-4.42E+4,4,-1.12E+4,6,8.9E+3,4,1.08E+4,6,1.7E+3,5,3.6E+3,6,2.43E+4,6,1.6E+3,5,8028,3
64,71,135Gd,0.0,1.1,s,2,(5/2+),EP = 18.00,-4.42E+4,4,-1.12E+4,6,8.9E+3,4,1.08E+4,6,1.7E+3,5,3.6E+3,6,2.43E+4,6,1.6E+3,5,8028,3
64,74,138Gd,0.0,4.7,s,9,0+,EC = 100.00,-5.566E+4,20,-1.21E+4,4,5.07E+3,20,1.25E+4,4,2.80E+3,20,3.3E+3,3,2.27E+4,4,3.43E+3,20,8112.0,10
64,73,137Gd,0.0,2.2,s,2,(7/2),EC = 100.00,-5.12E+4,3,-1.02E+4,5,7.9E+3,3,1.02E+4,4,2.3E+3,4,3.6E+3,4,2.31E+4,5,2.9E+3,3,8080.0,20
64,73,137Gd,0.0,2.2,s,2,(7/2),EP  ,-5.12E+4,3,-1.02E+4,5,7.9E+3,3,1.02E+4,4,2.3E+3,4,3.6E+3,4,2.31E+4,5,2.9E+3,3,8080.0,20
64,76,140Gd,0.0,15.8,s,4,0+,EC = 100.00,-6.178E+4,3,-1.13E+4,8,4.18E+3,6,1.222E+4,20,3.67E+3,3,2.60E+3,3,2.227E+4,20,4.86E+3,3,8154.98,20
64,75,139Gd,0.0,5.8,s,9,(9/2-),EP AP 0.00,-5.763E+4,20,-9.5E+3,4,6.75E+3,20,1.00E+4,3,3.17E+3,20,2.80E+3,25,2.26E+4,4,4.22E+3,20,8126.0,10
64,75,139Gd,0.0,5.8,s,9,(9/2-),EC AP 0.00,-5.763E+4,20,-9.5E+3,4,6.75E+3,20,1.00E+4,3,3.17E+3,20,2.80E+3,25,2.26E+4,4,4.22E+3,20,8126.0,10
64,75,139Gd,0.0,4.8,s,9,,EP AP 0.00,-5.763E+4,20,-9.5E+3,4,6.75E+3,20,1.00E+4,3,3.17E+3,20,2.80E+3,25,2.26E+4,4,4.22E+3,20,8126.0,10
64,75,139Gd,0.0,4.8,s,9,,EC AP 0.00,-5.763E+4,20,-9.5E+3,4,6.75E+3,20,1.00E+4,3,3.17E+3,20,2.80E+3,25,2.26E+4,4,4.22E+3,20,8126.0,10
64,78,142Gd,0.0,70.2,s,6,0+,EC = 100.00,-6.696E+4,3,-1.04E+4,7,3.33E+3,4,1.181E+4,3,4.32E+3,3,2.11E+3,3,2.132E+4,4,6.08E+3,3,8190.26,20
